样本,样本量,全通过坏账率,通过率,通过后坏账率,坏账率降幅,单位放款净收益,件均净收益
测试集（选的地方）,79923,0.083,0.825,0.066,0.2046,0.04494,595.2
OOT（验的地方）,234575,0.077,0.86,0.0644,0.1638,0.05312,675.5
