cohort,mob,n,累计坏账率
2016Q1,1,96120,0.0
2016Q1,2,96120,0.0
2016Q1,3,96120,0.001165210153974199
2016Q1,4,96120,0.002278401997503121
2016Q1,5,96120,0.004483978360382855
2016Q1,6,96120,0.007553058676654182
2016Q1,7,96120,0.012057844361215148
2016Q1,8,96120,0.01708281315022888
2016Q1,9,96120,0.02291926758218893
2016Q1,10,96120,0.029099042863087808
2016Q1,11,96120,0.03531002913025385
2016Q1,12,96120,0.041604244694132334
2016Q1,13,96120,0.04760715771951727
2016Q1,14,96120,0.05347482313774449
2016Q1,15,96120,0.0596233874323762
2016Q1,16,96120,0.06580316271327508
2016Q1,17,96120,0.07215980024968789
2016Q1,18,96120,0.0780274656679151
2016Q1,19,96120,0.08439450686641697
2016Q1,20,96120,0.09067831876820641
2016Q1,21,96120,0.0960153974198918
2016Q1,22,96120,0.10123803578859758
2016Q1,23,96120,0.10596129837702871
2016Q1,24,96120,0.11027881814398668
2016Q1,25,96120,0.11464835622138993
2016Q1,26,96120,0.11826883062838119
2016Q1,27,96120,0.12195172700790678
2016Q1,28,96120,0.12562421972534332
2016Q1,29,96120,0.12913025384935498
2016Q1,30,96120,0.13216812317935914
2016Q2,1,74537,0.0
2016Q2,2,74537,0.0
2016Q2,3,74537,0.0012611186390651622
2016Q2,4,74537,0.002911305794437662
2016Q2,5,74537,0.005862860056079531
2016Q2,6,74537,0.009874290620765527
2016Q2,7,74537,0.014784603619678817
2016Q2,8,74537,0.020312059782389955
2016Q2,9,74537,0.02574560285495794
2016Q2,10,74537,0.03184995371426271
2016Q2,11,74537,0.037618900680199095
2016Q2,12,74537,0.0442598977688933
2016Q2,13,74537,0.050256919382320187
2016Q2,14,74537,0.0574613950118733
2016Q2,15,74537,0.06426338596938433
2016Q2,16,74537,0.07115929001703852
2016Q2,17,74537,0.07832351717938742
2016Q2,18,74537,0.08495109811234688
2016Q2,19,74537,0.09133718824208112
2016Q2,20,74537,0.09777694299475428
2016Q2,21,74537,0.10338489609187383
2016Q2,22,74537,0.10845620295960395
2016Q2,23,74537,0.11273595663898467
2016Q2,24,74537,0.11737794652320324
2016Q2,25,74537,0.12110763781745978
2016Q2,26,74537,0.12475683217730792
2016Q2,27,74537,0.12832552960274762
2016Q2,28,74537,0.13233696016743363
2016Q2,29,74537,0.13586540912566913
2016Q2,30,74537,0.13955485195272146
2016Q3,1,73898,0.0
2016Q3,2,73898,0.0
2016Q3,3,73898,0.0014073452596822648
2016Q3,4,73898,0.0030988660044926793
2016Q3,5,73898,0.006103006847275975
2016Q3,6,73898,0.009986738477360686
2016Q3,7,73898,0.014479417575577146
2016Q3,8,73898,0.019310400822755692
2016Q3,9,73898,0.025426939835990148
2016Q3,10,73898,0.03135402852580584
2016Q3,11,73898,0.0383636904923002
2016Q3,12,73898,0.04514330563750034
2016Q3,13,73898,0.05192292078270048
2016Q3,14,73898,0.05978510920457929
2016Q3,15,73898,0.06725486481366208
2016Q3,16,73898,0.0743727841078243
2016Q3,17,73898,0.08116593141898293
2016Q3,18,73898,0.08728247043221737
2016Q3,19,73898,0.09353433110503667
2016Q3,20,73898,0.09906898698205635
2016Q3,21,73898,0.10444125686757422
2016Q3,22,73898,0.10910985412325097
2016Q3,23,73898,0.11394083737042951
2016Q3,24,73898,0.11810874448564238
2016Q3,25,73898,0.12253376275406641
2016Q3,26,73898,0.1268640558607811
2016Q3,27,73898,0.1309913664781185
2016Q3,28,73898,0.13540285258058404
2016Q3,29,73898,0.13894828006170667
2016Q3,30,73898,0.14275081869604048
2016Q4,1,78940,0.0
2016Q4,2,78940,0.0
2016Q4,3,78940,0.0012161135039270331
2016Q4,4,78940,0.0027362553838358246
2016Q4,5,78940,0.00537116797567773
2016Q4,6,78940,0.008626805168482393
2016Q4,7,78940,0.012021788700278693
2016Q4,8,78940,0.017329617430960224
2016Q4,9,78940,0.02318216366860907
2016Q4,10,78940,0.029186724094248797
2016Q4,11,78940,0.036432733721814034
2016Q4,12,78940,0.042766658221434
2016Q4,13,78940,0.04920192551304788
2016Q4,14,78940,0.056029896123638206
2016Q4,15,78940,0.06227514568026349
2016Q4,16,78940,0.06839371674689637
2016Q4,17,78940,0.07358753483658474
2016Q4,18,78940,0.0791233848492526
2016Q4,19,78940,0.08364580694198125
2016Q4,20,78940,0.08877628578667342
2016Q4,21,78940,0.09338738282239675
2016Q4,22,78940,0.09802381555611857
2016Q4,23,78940,0.10315429440081074
2016Q4,24,78940,0.10765138079554092
2016Q4,25,78940,0.11207246009627565
2016Q4,26,78940,0.11599949328604003
2016Q4,27,78940,0.12026855839878389
2016Q4,28,78940,
2016Q4,29,78940,
2016Q4,30,78940,
2017Q1,1,72410,0.0
2017Q1,2,72410,0.0
2017Q1,3,72410,0.0012429222483082447
2017Q1,4,72410,0.0024029830133959398
2017Q1,5,72410,0.00461262256594393
2017Q1,6,72410,0.0077061179395111175
2017Q1,7,72410,0.01171108962850435
2017Q1,8,72410,0.016365142936058556
2017Q1,9,72410,0.021778759839801133
2017Q1,10,72410,0.027537632923629332
2017Q1,11,72410,0.03292362933296506
