区间,预期占比,实际占比,psi_part
"(-inf, 537.415]",0.10000125121472096,0.07630395395928807,0.006409122196585666
"(537.415, 545.02]",0.10000125121472096,0.08745603751465417,0.0016816414783690217
"(545.02, 550.728]",0.09999708049898443,0.09084088244697858,0.0008792839740140808
"(550.728, 555.784]",0.10000125121472096,0.09730789726100394,7.353542592445425e-05
"(555.784, 560.615]",0.10000125121472096,0.09938825535543003,3.7691562996385453e-06
"(560.615, 565.488]",0.09999708049898443,0.10027070233400831,7.476884612116346e-07
"(565.488, 570.845]",0.10000125121472096,0.1062900991154215,0.00038355332421111864
"(570.845, 577.253]",0.09999708049898443,0.10849834807630822,0.0006936520629324373
"(577.253, 586.297]",0.10000125121472096,0.11279548118938505,0.001540343147775921
"(586.297, inf]",0.10000125121472096,0.12084834274752211,0.0039474738262697115
